time_start,time_end,duration,src_ip,dest_ip,src_port,dest_port,protocol,flags,forwarding_status,source_type_of_service,ingress_packet_count,ingress_byte_count,label
2023-04-01 08:45:49,2023-04-10 00:17:26,0.737,246.56.60.199,71.117.241.50,7917,25,UDP,......,1,16,40,21440,0
2023-08-31 14:25:33,2023-02-25 06:33:03,0.298,99.133.127.205,11.155.251.131,11803,443,ICMP,......,2,40,38,50578,0
2023-02-16 04:48:12,2023-03-19 07:41:39,5.145,217.143.212.126,158.181.36.116,39489,3389,TCP,...AP.,1,16,499,677143,1
2023-07-14 00:56:28,2023-06-12 04:09:34,7.097,105.43.45.51,34.183.156.21,64303,80,TCP,...AP.,2,64,224,203168,1
2023-01-08 19:10:55,2023-03-13 06:26:57,0.303,124.43.33.187,198.10.137.107,24757,53,ICMP,...AR.,0,64,42,16170,0
2023-06-22 14:02:36,2023-05-03 08:02:16,2.3,73.169.199.140,147.95.245.226,27247,25,ICMP,...AP.,0,16,38,47956,0
2023-02-25 02:56:05,2023-01-26 16:07:40,0.633,206.127.158.213,182.57.98.254,32459,443,ICMP,...AR.,1,40,33,47619,0
2023-07-23 21:12:23,2023-08-23 12:03:38,0.456,174.41.137.103,201.3.227.44,26502,443,UDP,F.....,2,0,45,57960,0
2023-06-04 17:57:01,2023-03-24 15:13:10,4.298,113.238.73.130,124.213.77.72,32373,80,ICMP,F.....,2,0,11,13860,0
2023-06-17 17:07:04,2023-03-07 17:06:12,0.354,133.86.202.116,244.3.184.207,60236,8080,TCP,F.....,1,24,15,8610,0
2023-08-31 03:57:03,2023-07-11 04:06:25,9.807,92.161.194.128,232.61.108.65,7559,8080,UDP,......,0,48,30,12300,0
2023-05-30 08:51:24,2023-02-26 05:07:50,1.564,252.144.204.84,177.239.209.198,30087,80,UDP,...AR.,0,16,16,15904,0
2023-02-18 05:34:11,2023-06-03 11:35:58,0.117,163.97.53.187,54.46.46.217,28740,25,UDP,.S....,1,16,32,47392,0
2023-05-14 07:03:18,2023-04-27 22:32:16,0.644,49.213.67.238,63.93.25.165,10597,25,UDP,F.....,2,0,31,19995,0
2023-06-20 07:50:05,2023-04-06 17:01:44,0.846,80.136.141.24,96.137.126.100,20177,8080,ICMP,...A..,2,0,119,30226,1
2023-06-02 23:29:02,2023-04-21 04:39:46,0.514,124.155.200.107,109.232.156.76,1278,443,ICMP,...AR.,1,16,48,15888,0
2023-07-25 22:00:39,2023-01-18 06:00:53,1.97,124.7.164.214,24.85.109.65,29401,25,ICMP,F.....,1,56,23,28382,0
2023-02-04 06:53:59,2023-01-27 07:44:59,2.099,13.180.135.249,226.4.178.247,52722,443,ICMP,......,2,56,5,4170,0
2023-03-05 10:22:15,2023-02-22 13:50:49,1.542,171.84.173.55,109.169.49.118,34942,80,UDP,...A..,1,16,25,25000,0
2023-02-14 21:34:54,2023-01-20 08:26:30,2.082,249.205.80.87,1.175.31.143,39002,8080,UDP,F.....,0,16,3,972,0
2023-04-17 20:59:07,2023-08-28 14:51:05,1.065,178.80.251.3,159.71.30.122,39508,53,TCP,...AR.,2,0,31,26319,0
2023-04-04 06:51:37,2023-04-17 07:01:59,0.297,161.136.252.65,45.203.238.155,26929,8080,UDP,...AP.,0,32,24,10824,0
2023-08-11 04:04:02,2023-04-25 07:27:08,6.95,25.160.93.120,6.223.85.20,51474,80,ICMP,...AR.,0,64,35,12670,0
2023-01-27 22:57:01,2023-03-09 15:57:03,0.572,33.91.76.158,165.134.107.36,13111,5953,ICMP,...AR.,1,16,17,9078,2
2023-01-07 07:16:59,2023-05-13 05:43:33,0.572,126.180.92.21,182.49.62.140,13431,53,ICMP,.S....,1,48,9,1296,0
2023-05-05 06:05:25,2023-04-22 16:37:30,0.215,106.31.59.110,248.164.248.137,58114,8080,ICMP,...AP.,2,40,39,14898,0
2023-06-24 03:49:43,2023-08-18 21:51:37,1.557,183.176.54.69,163.220.134.231,36251,80,UDP,...AP.,1,0,39,39429,0
2023-04-23 09:47:50,2023-04-09 09:03:56,9.871,127.6.242.108,41.112.136.22,20064,443,UDP,...AR.,2,8,239,245453,1
2023-04-30 21:51:29,2023-01-07 13:09:50,0.719,166.86.191.234,4.231.63.195,39093,8080,ICMP,......,1,64,34,40936,0
2023-08-23 07:29:39,2023-01-08 00:05:44,5.45,135.17.114.187,114.218.201.167,8516,8080,TCP,...A..,1,8,53,72504,1
2023-05-11 20:38:06,2023-03-01 22:57:58,0.562,162.43.189.143,61.100.135.154,62169,2220,TCP,F.....,2,8,4,1468,2
2023-04-18 18:15:30,2023-04-25 10:53:03,3.564,163.196.161.77,89.111.169.198,44365,8080,ICMP,F.....,2,24,45,41580,0
2023-04-08 18:21:57,2023-06-01 05:01:56,1.031,38.133.80.251,33.252.64.60,54388,8080,TCP,...AR.,2,56,253,260084,1
2023-08-22 16:52:11,2023-02-09 11:09:23,1.198,6.91.183.133,233.119.182.224,30932,80,TCP,F.....,0,0,8,7152,0
2023-06-20 09:23:59,2023-07-13 17:01:59,1.97,92.192.223.187,76.158.69.161,63283,443,UDP,.S....,2,32,2,506,0
2023-04-26 04:14:59,2023-08-11 14:55:29,3.113,75.23.36.12,117.113.176.122,47001,3389,ICMP,...AR.,1,40,303,23937,1
2023-08-10 13:30:12,2023-08-22 06:46:35,1.433,81.154.208.133,188.223.192.94,17141,8080,UDP,...AR.,2,16,18,5310,0
2023-05-18 21:45:52,2023-03-18 15:27:42,1.595,17.216.110.221,44.138.95.253,22748,25,ICMP,...AP.,1,48,13,12857,0
2023-01-06 15:01:56,2023-08-31 05:30:28,1.596,51.43.128.65,153.43.43.156,4002,6532,ICMP,...AR.,0,0,33,30096,2
2023-03-26 12:19:37,2023-04-13 12:27:49,0.351,145.249.209.6,109.173.156.196,23558,443,TCP,...A..,1,0,143,76219,1
2023-04-11 05:43:21,2023-05-17 11:34:58,2.5,107.248.154.39,23.89.183.107,11903,80,ICMP,...A..,0,24,37,8288,0
2023-04-04 23:36:01,2023-02-19 09:24:00,2.477,30.32.87.113,74.31.36.252,14225,22,TCP,......,0,56,250,72500,1
2023-02-05 22:25:20,2023-04-15 09:15:59,3.535,83.207.175.199,233.138.90.11,54080,80,ICMP,...AP.,1,64,100,80800,1
2023-01-12 13:56:30,2023-03-20 00:53:16,1.49,184.123.170.250,214.18.201.5,15866,2119,TCP,...A..,2,24,47,17343,2
2023-02-16 18:04:04,2023-05-22 10:10:49,0.427,206.222.27.79,19.56.23.210,14212,23348,ICMP,.S....,0,0,36,37620,2
2023-07-02 11:49:02,2023-06-25 04:00:39,0.708,248.109.201.199,139.81.41.22,33233,25,UDP,...A..,2,8,13,9672,0
2023-03-02 20:32:13,2023-03-23 02:42:47,1.116,213.6.58.233,140.253.55.90,11552,80,UDP,...AR.,2,24,35,40985,0
2023-07-06 06:34:17,2023-08-21 00:31:56,4.326,161.131.85.156,145.154.179.216,52229,22,UDP,...AR.,1,32,439,449097,1
2023-01-11 05:40:29,2023-04-16 23:55:33,0.138,156.242.17.140,172.27.119.29,5421,445,ICMP,...AP.,0,32,306,42534,1
2023-08-14 11:48:17,2023-04-10 04:48:49,0.745,30.108.237.71,193.69.207.66,57442,8080,UDP,......,2,40,26,1846,0
2023-03-30 06:49:51,2023-06-18 15:27:25,1.406,185.44.79.199,250.17.165.145,40103,53,ICMP,......,2,16,34,9690,0
2023-02-16 11:43:22,2023-02-11 21:47:55,0.072,128.250.178.173,225.186.50.229,32959,443,ICMP,F.....,0,56,26,4628,0
2023-08-26 22:55:39,2023-05-16 13:28:18,3.736,72.21.144.189,46.35.152.99,61379,80,UDP,...AP.,1,64,18,18972,0
2023-05-08 01:43:27,2023-01-23 01:26:15,3.998,185.112.88.136,128.215.249.77,7980,8080,UDP,F.....,0,40,28,4536,0
2023-09-02 20:46:48,2023-04-16 03:52:09,1.629,223.99.169.135,195.230.49.209,14472,80,UDP,...AR.,1,56,26,33306,0
2023-07-22 09:46:49,2023-06-18 03:20:55,0.095,59.77.245.183,235.226.156.152,51679,443,TCP,F.....,2,32,186,247194,1
2023-03-07 20:29:24,2023-05-18 02:38:05,0.54,86.101.162.27,201.10.202.202,42314,53,TCP,...AP.,1,64,37,47027,0
2023-08-08 20:48:48,2023-07-11 08:17:40,0.388,48.158.106.115,187.152.38.217,43763,22,ICMP,.S....,0,24,81,93717,1
2023-01-21 22:52:14,2023-06-19 19:18:13,3.105,176.115.134.3,9.112.9.71,39866,445,UDP,...AP.,0,32,134,103850,1
2023-06-20 02:34:17,2023-05-16 21:13:19,1.456,116.183.23.21,11.56.14.151,11170,46760,TCP,...A..,0,16,9,9306,2
2023-08-28 03:00:40,2023-07-19 08:15:19,1.017,54.77.237.123,166.179.43.136,30007,80,ICMP,...AP.,0,32,2,2554,0
2023-02-06 08:40:12,2023-02-11 11:54:29,1.955,28.12.158.192,56.63.136.31,55065,25,UDP,...AP.,1,8,28,14476,0
2023-06-20 11:48:26,2023-09-02 13:52:43,0.766,252.97.73.100,201.55.6.201,34168,8080,ICMP,...A..,0,32,31,40145,0
2023-02-13 05:24:54,2023-04-14 17:36:44,0.528,133.29.203.140,105.57.177.204,2979,25,TCP,.S....,2,16,6,6462,0
2023-01-16 16:40:32,2023-03-28 03:06:12,0.695,11.86.71.14,45.225.183.113,2556,8080,UDP,F.....,2,48,10,4200,0
2023-02-21 08:44:08,2023-06-26 22:16:48,2.603,19.108.194.39,137.231.221.137,52032,48330,UDP,...AR.,1,24,18,19602,2
2023-04-13 01:30:03,2023-07-22 21:31:14,0.875,32.53.119.207,218.156.134.205,59656,443,ICMP,F.....,2,0,1,92,0
2023-05-06 22:53:03,2023-01-23 18:36:54,2.089,78.153.138.209,185.213.220.26,50645,53,ICMP,...A..,2,40,7,6951,0
2023-02-16 10:01:09,2023-04-05 16:02:58,0.696,6.29.213.190,116.145.75.124,51062,443,UDP,.S....,1,24,3,4044,0
2023-06-13 13:17:01,2023-05-04 04:33:00,1.127,32.5.186.25,76.252.241.11,26896,80,UDP,...AR.,2,0,23,15502,0
2023-02-06 22:06:28,2023-02-03 23:14:25,0.815,73.34.173.94,114.66.156.235,55839,25,ICMP,...AP.,0,0,30,35610,0
2023-05-09 13:17:17,2023-07-08 14:34:37,1.35,239.168.94.109,196.36.129.184,35802,25,UDP,...AR.,1,56,22,27324,0
2023-08-24 06:57:23,2023-06-04 13:40:54,0.698,141.59.107.234,253.103.82.53,14519,53,UDP,F.....,2,16,13,16380,0
2023-02-07 13:57:07,2023-08-19 11:39:32,12.423,154.47.180.28,167.20.177.95,36125,445,TCP,......,1,24,138,134412,1
2023-03-12 08:04:05,2023-06-30 01:57:33,2.433,171.195.189.66,119.193.208.47,51744,22,UDP,.S....,0,0,343,217119,1
2023-07-29 12:06:04,2023-04-15 18:11:26,0.215,191.95.142.242,62.142.99.117,6354,22,TCP,...AP.,0,32,379,253930,1
2023-06-15 04:36:30,2023-07-26 01:42:56,3.096,133.56.196.188,167.198.110.27,51092,25,UDP,F.....,0,8,19,5871,0
2023-05-30 15:19:46,2023-03-15 04:49:53,0.467,33.139.204.249,83.106.168.187,5825,50984,TCP,...AR.,2,0,12,6972,2
2023-08-21 10:32:00,2023-03-18 21:08:52,0.482,69.252.165.156,114.61.12.190,5697,8080,TCP,...AR.,1,24,13,13156,0
2023-06-16 08:18:23,2023-03-20 09:11:22,0.103,209.23.137.80,231.170.18.156,11706,80,UDP,...A..,2,32,8,5360,0
2023-08-28 19:23:06,2023-07-09 10:46:54,4.479,124.105.49.160,50.17.152.73,40077,443,TCP,...AP.,0,32,17,19771,1
2023-04-04 03:24:32,2023-02-22 23:41:43,3.209,164.43.28.250,59.244.129.6,30193,25,ICMP,...AR.,2,56,6,8022,0
2023-02-01 02:22:30,2023-08-26 04:45:30,5.833,36.56.159.183,194.22.210.28,33718,50562,UDP,...AR.,2,0,18,4536,2
2023-02-27 06:14:44,2023-06-09 07:56:15,2.666,60.163.180.197,234.226.218.87,41326,443,ICMP,...AR.,0,32,24,8976,0
2023-04-14 08:08:45,2023-08-24 21:20:01,4.959,215.229.117.52,229.128.82.112,51505,443,UDP,.S....,0,16,4,1056,0
2023-03-27 22:16:51,2023-08-17 12:23:25,3.868,42.63.188.193,171.96.252.97,8357,443,ICMP,...AR.,0,0,28,8624,0
2023-06-25 07:02:01,2023-03-30 21:16:34,0.084,145.134.193.245,85.61.228.234,54533,443,UDP,...A..,1,16,32,37376,0
2023-01-25 06:56:05,2023-08-29 02:34:57,1.971,240.62.47.59,38.124.36.57,24980,25,UDP,F.....,0,40,49,10388,0
2023-08-02 08:21:45,2023-04-19 16:57:35,0.314,210.28.142.222,111.146.163.8,49492,12392,ICMP,...AR.,2,24,16,10608,2
2023-04-06 14:43:58,2023-04-11 00:09:44,1.255,188.44.72.197,70.250.23.249,44961,443,UDP,......,1,24,47,23218,0
2023-02-01 22:29:58,2023-09-01 09:23:07,3.153,183.88.222.121,222.175.94.104,53276,8080,UDP,.S....,0,24,28,24976,0
2023-04-25 08:31:54,2023-01-06 00:08:55,2.659,122.212.162.206,208.10.93.73,57487,62725,ICMP,F.....,2,48,13,16770,2
2023-05-20 20:45:58,2023-05-28 00:11:15,2.072,148.32.198.137,150.6.191.34,1804,22,UDP,...AR.,1,48,301,397320,1
2023-08-06 17:30:48,2023-05-29 10:56:46,0.476,135.124.52.116,71.63.78.25,39983,8080,TCP,F.....,1,16,31,44764,0
2023-06-11 13:20:31,2023-02-13 13:48:59,3.101,172.138.1.10,142.21.37.147,63011,53,ICMP,...AP.,2,40,30,42600,0
2023-06-18 11:28:37,2023-05-07 22:52:51,0.608,107.82.147.195,152.9.215.200,53864,53,TCP,.S....,1,56,19,22534,0
2023-06-26 21:39:50,2023-06-10 16:46:49,1.701,229.141.157.58,116.6.118.204,44294,443,ICMP,...AP.,2,48,35,37800,0
2023-06-20 13:10:54,2023-04-22 20:59:35,1.039,196.88.25.85,49.121.242.75,33296,9348,TCP,.S....,1,40,14,1484,2
2023-05-26 12:52:48,2023-07-15 01:50:57,0.072,205.208.162.18,3.4.178.139,24709,53,UDP,...AP.,0,48,46,33350,0
2023-08-15 03:24:09,2023-01-13 04:45:19,2.355,105.80.14.214,214.20.148.140,12146,25,UDP,.S....,0,48,43,62651,0
2023-06-30 17:44:41,2023-02-12 14:19:59,1.044,65.57.116.121,1.200.57.69,53395,28127,ICMP,...A..,0,40,5,5465,2
2023-08-26 07:21:13,2023-02-10 11:36:02,0.197,187.244.40.121,234.204.56.44,22809,8080,UDP,...A..,0,32,23,15065,0
2023-04-28 15:51:35,2023-02-04 14:49:33,5.024,45.10.134.3,82.216.57.182,7442,8080,TCP,...AP.,0,48,31,38843,0
2023-07-23 08:51:15,2023-03-11 19:59:57,5.158,195.163.38.130,65.74.147.251,13819,80,TCP,...A..,0,64,41,9061,0
2023-07-19 20:01:45,2023-01-20 01:59:06,5.649,2.210.19.243,235.176.186.52,21057,80,UDP,...AP.,0,64,233,226243,1
2023-05-10 16:31:25,2023-08-07 16:25:21,1.322,108.220.56.51,191.248.75.85,57170,42611,UDP,.S....,2,8,16,13072,2
2023-04-18 20:08:45,2023-07-20 17:53:10,0.771,101.135.115.128,251.101.208.253,54603,443,UDP,F.....,1,16,25,32325,0
2023-01-15 02:13:01,2023-01-26 01:18:58,0.804,47.21.72.64,110.139.166.212,23536,2304,ICMP,...AR.,2,64,31,32581,2
2023-01-06 13:18:39,2023-04-20 18:18:43,2.925,181.63.193.16,160.53.66.154,21994,30257,TCP,F.....,2,24,15,21660,2
2023-07-14 19:39:06,2023-02-10 12:30:37,0.611,18.40.156.145,198.75.205.212,57241,8080,ICMP,.S....,0,8,17,23783,0
2023-07-28 22:49:52,2023-05-29 10:06:44,0.126,253.240.210.62,224.221.113.91,11670,15142,TCP,...AR.,0,32,23,20010,2
2023-08-24 06:59:59,2023-04-26 12:36:41,2.825,125.170.94.149,39.106.115.64,59876,8080,UDP,F.....,0,24,6,7362,0
2023-02-03 14:42:42,2023-01-24 06:01:11,0.945,180.23.38.153,209.161.242.180,53899,80,TCP,...AR.,0,64,3,3624,0
2023-04-10 18:48:26,2023-06-27 23:07:42,0.214,235.177.195.229,4.52.4.176,40100,8080,ICMP,...AR.,0,48,46,63388,0
2023-04-22 04:26:57,2023-03-18 17:23:16,0.632,167.211.108.25,156.230.134.7,6311,8080,UDP,F.....,0,48,21,24843,0
2023-01-08 12:04:56,2023-04-03 20:24:47,1.543,91.65.181.39,32.177.149.221,48693,80,ICMP,...AR.,2,8,16,13200,0
2023-02-02 17:01:30,2023-02-04 07:51:28,1.294,6.87.44.54,122.107.217.213,37763,8080,ICMP,F.....,0,0,29,7801,0
2023-03-25 19:44:24,2023-06-28 18:29:59,0.78,41.221.14.239,57.3.231.30,40455,443,ICMP,...A..,2,56,16,1760,0
2023-04-08 07:48:25,2023-02-11 17:29:32,0.785,101.192.145.97,144.111.74.152,24587,25,ICMP,...AP.,2,16,6,5946,0
2023-04-09 23:37:19,2023-07-19 16:40:29,4.696,69.113.24.9,11.235.34.190,62084,443,TCP,...A..,1,40,43,17501,0
2023-05-31 20:21:56,2023-04-10 20:16:11,4.973,199.27.155.210,178.70.36.239,24915,8080,ICMP,...AP.,2,16,45,41850,0
2023-06-30 12:33:32,2023-01-18 00:54:39,3.516,214.38.220.182,195.41.218.6,15381,25,TCP,...A..,1,64,41,60639,0
2023-08-02 11:44:43,2023-03-19 19:50:54,0.14,168.220.247.244,36.100.60.115,63920,8080,ICMP,.S....,1,64,6,8310,0
2023-07-01 03:22:09,2023-02-11 13:36:07,2.141,133.244.10.28,237.204.210.53,42160,25,ICMP,......,0,16,45,37845,0
2023-06-17 16:53:39,2023-08-06 14:54:50,0.541,188.33.184.223,182.120.85.112,18471,25,TCP,...AP.,0,48,34,46410,0
2023-08-15 10:07:44,2023-02-02 03:39:34,7.631,3.193.236.104,31.150.198.248,18563,8080,TCP,......,0,48,3,1146,0
2023-04-13 00:58:03,2023-04-12 11:17:28,3.282,84.30.59.227,67.243.249.208,32546,63070,ICMP,...A..,2,16,36,31968,2
2023-08-24 08:00:46,2023-03-29 11:43:15,1.796,12.115.202.106,70.251.103.37,12788,25,TCP,F.....,1,0,38,33060,0
2023-05-26 07:18:02,2023-06-01 03:56:32,7.542,98.117.62.179,144.13.220.131,61170,443,ICMP,F.....,0,0,222,237762,1
2023-08-31 20:12:20,2023-01-27 00:10:21,12.661,29.131.240.15,254.38.248.26,18035,80,TCP,...AP.,1,8,13,1144,0
2023-07-09 11:56:04,2023-07-02 20:18:59,1.487,70.241.149.6,218.238.9.100,64228,443,ICMP,F.....,2,0,49,13720,0
2023-02-23 21:39:15,2023-04-18 03:17:24,2.358,50.252.1.222,104.125.96.144,45925,49558,UDP,...AR.,2,32,25,9425,2
2023-08-26 07:08:33,2023-05-28 07:21:49,6.008,15.100.145.156,179.222.38.132,35433,8080,TCP,.S....,0,32,15,8070,0
2023-06-02 13:48:45,2023-03-02 20:23:46,18.302,112.14.141.112,204.168.165.108,8743,8080,TCP,F.....,0,24,423,400581,1
2023-07-22 00:19:31,2023-03-12 02:54:17,1.768,26.190.252.138,248.224.242.178,22803,25,UDP,...A..,1,48,11,7216,0
2023-06-01 15:46:19,2023-07-27 10:33:31,0.519,70.70.9.23,109.21.131.62,57844,10400,TCP,...AP.,2,16,46,59064,2
2023-08-07 01:32:09,2023-03-11 14:12:55,0.342,181.46.48.125,227.27.91.12,37341,80,UDP,......,0,8,31,4929,0
2023-01-22 05:51:02,2023-02-22 05:14:05,0.334,93.101.196.34,85.42.79.174,4040,53,UDP,......,2,48,23,9499,0
2023-07-27 01:10:54,2023-03-28 12:27:23,2.73,90.172.53.97,154.150.174.22,26531,3389,ICMP,...AR.,0,64,337,368341,1
2023-04-29 02:52:22,2023-04-28 12:37:21,11.708,184.62.11.108,136.209.162.239,6553,443,UDP,.S....,1,16,39,45513,0
2023-04-20 21:03:43,2023-01-17 14:28:09,5.448,42.45.8.186,53.80.191.195,32483,25,ICMP,...AR.,0,8,3,1647,0
2023-03-25 00:27:12,2023-06-24 07:26:09,1.855,133.244.154.144,126.218.46.245,24638,443,TCP,......,1,64,37,26492,0
2023-02-04 22:27:46,2023-03-21 10:08:00,1.519,244.74.101.217,87.252.171.246,52776,80,ICMP,.S....,2,56,14,1932,0
2023-06-20 16:55:04,2023-03-09 07:37:17,0.731,185.171.165.140,224.198.4.6,51676,8080,UDP,......,1,8,17,12359,0
2023-08-13 12:42:48,2023-08-05 01:48:47,3.79,173.137.67.251,107.213.65.223,36559,22,TCP,......,2,24,329,233919,1
2023-03-13 20:50:32,2023-03-30 21:10:11,0.185,30.142.146.92,116.94.172.136,3936,53,ICMP,F.....,1,40,8,8096,0
2023-05-30 13:58:05,2023-05-24 06:28:05,11.7,213.56.251.20,184.30.168.129,26444,3389,TCP,...AP.,2,24,10,3990,1
2023-07-17 12:52:38,2023-01-21 20:16:50,0.716,116.78.121.19,18.64.229.57,48178,53,UDP,.S....,0,56,19,11324,0
2023-04-30 18:15:21,2023-02-18 09:07:31,0.818,201.94.154.69,92.84.152.182,44605,25,TCP,...AP.,1,8,25,4075,0
2023-07-05 04:25:42,2023-06-22 17:50:54,3.864,239.29.134.42,212.157.189.168,43509,25475,ICMP,...AP.,0,48,25,7550,2
2023-04-09 08:54:04,2023-07-06 20:15:01,0.451,112.11.210.156,143.194.66.222,16611,42136,ICMP,......,2,24,44,52712,2
2023-07-28 03:05:17,2023-03-09 13:01:30,1.565,93.169.121.203,18.173.92.97,11234,443,TCP,.S....,2,64,8,3304,0
2023-05-31 03:09:38,2023-05-02 16:29:04,1.626,19.211.164.65,22.226.85.231,50431,25,ICMP,...AR.,0,0,19,7904,0
2023-05-20 22:23:29,2023-07-22 11:08:49,3.758,157.171.210.222,135.92.232.23,31925,33005,ICMP,...AP.,2,8,44,31328,2
2023-02-03 13:47:34,2023-03-02 12:44:56,0.89,201.198.33.122,9.127.57.232,17849,80,TCP,......,0,8,26,10166,0
2023-04-29 02:46:10,2023-08-02 11:51:50,1.935,29.20.27.116,150.136.93.95,34763,25,ICMP,.S....,0,16,32,44896,0
2023-04-14 03:33:28,2023-08-07 12:31:01,12.961,114.176.12.20,213.171.131.105,44573,443,UDP,...AP.,0,64,7,3003,1
2023-05-27 18:35:07,2023-08-27 10:35:08,0.983,126.232.222.8,81.20.197.185,42379,8080,TCP,......,2,16,10,8960,0
2023-06-08 17:15:48,2023-07-29 04:32:35,0.229,181.204.235.149,84.102.184.29,52708,443,UDP,...AP.,1,0,48,60624,0
2023-07-11 20:41:15,2023-06-09 19:03:54,0.242,248.232.14.190,144.8.79.221,49077,53,UDP,.S....,0,8,35,33285,0
2023-01-09 14:09:56,2023-07-19 11:14:07,2.667,178.249.61.18,167.99.120.27,32602,53879,TCP,F.....,2,24,27,26217,2
2023-04-15 04:58:25,2023-03-15 00:24:54,0.614,113.244.120.245,245.17.29.47,37664,8080,UDP,......,1,16,47,59925,0
2023-03-19 20:35:34,2023-07-14 23:47:26,0.838,140.114.25.160,95.197.84.17,56671,8080,UDP,F.....,0,40,36,22176,0
2023-04-03 00:03:24,2023-04-18 14:28:08,2.22,65.217.60.243,10.108.155.248,50347,25,TCP,.S....,0,56,1,1176,0
2023-04-13 04:16:57,2023-04-04 15:13:51,0.571,58.30.16.117,166.9.123.160,56279,53,ICMP,...AR.,2,56,32,16832,0
2023-02-08 05:36:47,2023-07-25 22:26:34,4.317,240.16.194.249,112.126.54.218,47836,8080,UDP,...A..,1,32,3,1752,0
2023-04-11 03:41:16,2023-01-19 14:41:44,8.076,195.40.161.188,164.13.166.170,45633,22,UDP,...A..,0,8,85,107270,1
2023-05-05 03:45:35,2023-03-08 14:29:27,0.028,18.234.194.101,122.67.4.228,17479,53895,UDP,...A..,1,8,12,3852,2
2023-05-19 16:06:16,2023-03-10 07:32:43,2.457,54.112.174.176,92.243.12.228,1531,25,UDP,.S....,2,16,16,21360,0
2023-06-03 06:39:13,2023-06-10 23:31:38,1.803,25.20.1.192,114.90.172.36,61610,25,TCP,...A..,2,8,1,470,0
2023-02-17 02:42:53,2023-03-03 20:03:07,0.819,214.126.176.125,195.12.59.149,18185,53,TCP,.S....,0,56,40,20600,0
2023-02-28 12:52:24,2023-04-21 21:17:32,10.37,153.10.26.113,156.210.96.46,10159,80,UDP,F.....,0,0,12,936,0
2023-07-09 19:02:37,2023-01-10 18:21:31,3.119,177.39.135.57,174.18.196.168,59039,11414,UDP,...A..,0,48,44,55748,2
2023-04-09 03:44:07,2023-07-13 11:25:40,3.353,118.173.159.237,240.76.133.76,48338,443,ICMP,...A..,0,0,105,150360,1
2023-02-09 08:18:36,2023-05-08 04:42:39,0.511,98.127.233.34,152.145.118.199,48681,80,ICMP,F.....,2,24,8,2568,0
2023-01-28 15:33:23,2023-04-21 02:54:36,1.473,204.149.36.223,215.68.220.138,25900,80,TCP,F.....,1,24,9,10422,0
2023-05-30 19:22:00,2023-04-18 03:30:36,0.114,233.245.94.191,61.82.124.69,44301,443,ICMP,.S....,2,64,45,16380,0
2023-05-13 15:54:57,2023-04-23 12:24:49,5.704,152.57.110.211,13.124.227.241,26897,53,ICMP,......,0,16,9,2961,0
2023-07-10 20:38:45,2023-05-10 23:21:43,1.219,8.243.139.12,162.70.13.198,63948,8080,TCP,...AR.,1,64,22,28820,0
2023-03-19 00:53:32,2023-04-16 00:35:46,7.813,48.215.27.65,136.167.203.188,19361,25,UDP,.S....,2,56,44,63888,0
